game_id,max_players,max_playtime,min_age,min_players,min_playtime,name,playing_time,year_published,average_rating,users_rated
37683,4,120,9,2,120,Hogwarts: House Cup Challenge,120,2008,6.13286,140
38026,5,30,9,3,30,Clue: Harry Potter Edition,30,2008,6.19159,414
38328,7,30,9,3,30,The Looney Bin,30,2008,6.32913,103
38504,6,30,9,3,30,Hurry'Cup!,30,2008,5.50193,275
38531,6,60,9,2,60,Powerboats,60,2008,6.73882,1705
39034,6,30,9,2,30,North Pole,30,2011,6.325,64
39635,5,30,9,1,30,Prolix,30,2010,6.51515,260
40760,5,60,9,2,60,Alea Iacta Est,60,2009,6.66237,2464
41019,6,60,9,3,60,Sherwood Forest,60,2009,5.82771,354
41095,6,60,9,2,60,Clue: Secrets & Spies,60,2009,5.40254,177
41898,4,60,9,2,60,Epäillyt,60,2009,5.67398,98
42704,4,60,9,2,60,Mi Tierra,60,2010,6.93727,55
43168,4,0,9,2,0,Scrappers,0,2009,6.04076,157
46410,4,45,9,1,45,Schinderhannes,45,2009,6.49869,153
55222,6,45,9,3,45,Clue: The Office,45,2009,5.7527,74
55601,5,20,9,2,20,Sneaks & Snitches,20,2010,6.35424,818
55828,5,60,9,2,60,"Mees, kes teadis ussisõnu",60,2009,5.79242,66
56995,2,30,9,2,30,The Twelve Doctors: Doctor Who Card Game,30,2009,7.82239,134
57458,5,60,9,3,60,Darwinci,60,2009,5.76509,106
58281,4,60,9,2,30,Summoner Wars,60,2009,7.33976,5008
59149,6,20,9,3,20,Bunny Bunny Moose Moose,20,2009,6.1909,742
60435,4,45,9,1,45,Rallyman,45,2009,7.25926,1928
63759,4,60,9,2,45,Seeland,60,2010,6.9598,1445
65889,8,30,9,2,30,Seven Card Samurai,30,2010,5.53087,149
66424,6,60,9,1,60,Dungeon Run,60,2011,6.32394,1389
66695,8,15,9,1,15,Sumoku,15,2010,6.00936,78
72991,4,45,9,2,45,Asara,45,2010,7.04631,2151
80474,5,20,9,2,20,Busstop: The Boardgame,20,2010,6.42759,58
82420,4,30,9,2,30,Summoner Wars: Guild Dwarves vs Cave Goblins,30,2009,7.66347,2040
82421,4,30,9,2,30,Summoner Wars: Phoenix Elves vs Tundra Orcs,30,2009,7.60803,2195
84783,2,45,9,2,45,Coerceo,45,2011,6.80915,71
84864,5,30,9,2,30,Insidious Sevens,30,2010,6.46984,63
85338,4,35,9,2,35,Antigua,35,2010,5.73894,113
89409,4,15,9,2,15,BattleCON: War of Indines,15,2010,7.86365,1239
91034,2,30,9,2,30,Khet 2.0,30,2011,6.84715,494
92643,4,60,9,2,60,Artus,60,2011,6.30054,867
93260,4,30,9,2,30,Summoner Wars: Master Set,30,2011,7.62126,8664
94002,6,60,9,2,60,Nitro Dice,60,2011,5.65372,94
